856,923,1217,957,1198,1157,837,1122
537,1165,1526,1273,1492,1579,503,1470
665,1587,1362,1620,1350,1882,652,1849
233,2280,447,2280,447,2381,233,2381
478,2312,655,2312,655,2406,478,2406
1386,2312,1575,2312,1575,2406,1386,2406
681,2311,898,2325,893,2393,677,2379
1600,2315,1823,2325,1819,2423,1596,2413
1027,2320,1350,2331,1347,2412,1024,2401
932,2331,982,2331,982,2387,932,2387
224,2447,420,2438,424,2525,228,2534
434,2444,585,2444,585,2538,434,2538
1015,2448,1400,2461,1396,2583,1011,2571
592,2469,1008,2469,1008,2570,592,2570
1568,2469,1770,2469,1770,2564,1568,2564
1404,2475,1493,2475,1493,2557,1404,2557
1512,2494,1556,2494,1556,2557,1512,2557
38,2590,355,2602,351,2706,34,2694
381,2573,625,2603,611,2722,366,2691
623,2595,787,2595,787,2696,623,2696
860,2611,1258,2597,1263,2714,864,2728
806,2620,844,2620,844,2690,806,2690
1261,2628,1498,2616,1503,2718,1267,2730
1524,2620,1782,2620,1782,2715,1524,2715
25,2734,220,2734,220,2860,25,2860
697,2732,1083,2774,1071,2887,685,2845
226,2767,445,2751,452,2848,233,2863
453,2767,683,2749,691,2852,461,2870
1102,2765,1253,2765,1253,2853,1102,2853
1438,2767,1662,2783,1654,2893,1430,2877
1266,2778,1430,2778,1430,2860,1266,2860
18,2891,289,2891,289,2986,18,2986
535,2904,699,2904,699,2998,535,2998
713,2891,977,2918,965,3039,701,3012
296,2907,531,2915,528,3000,293,2992
1241,2916,1461,2916,1461,3011,1241,3011
982,2923,1083,2923,1083,3005,982,3005
1480,2923,1587,2923,1587,3017,1480,3017
1089,2929,1228,2929,1228,3005,1089,3005
1593,2948,1732,2948,1732,3036,1593,3036
882,3364,1026,3364,1026,3458,882,3458
