943,475,1259,467,1261,547,945,555
636,478,913,478,913,548,636,548
1108,907,1228,907,1228,989,1108,989
1379,907,1505,907,1505,989,1379,989
1505,907,1631,907,1631,982,1505,982
144,913,270,913,270,995,144,995
504,913,674,913,674,1001,504,1001
680,913,882,913,882,1001,680,1001
900,913,1001,913,1001,995,900,995
1001,913,1102,913,1102,995,1001,995
283,919,504,919,504,1020,283,1020
1241,919,1367,919,1367,982,1241,982
894,1039,1020,1039,1020,1121,894,1121
1026,1039,1323,1039,1323,1121,1026,1121
1486,1039,1688,1039,1688,1115,1486,1115
144,1045,359,1045,359,1127,144,1127
365,1045,573,1045,573,1127,365,1127
711,1045,888,1045,888,1127,711,1127
1335,1045,1417,1045,1417,1108,1335,1108
592,1052,711,1052,711,1127,592,1127
1436,1058,1474,1058,1474,1108,1436,1108
926,1165,1304,1165,1304,1253,926,1253
1310,1165,1480,1165,1480,1241,1310,1241
535,1171,705,1171,705,1260,535,1260
157,1178,371,1178,371,1253,157,1253
1562,1184,1656,1184,1656,1241,1562,1241
390,1190,522,1190,522,1253,390,1253
718,1190,806,1190,806,1247,718,1247
825,1190,913,1190,913,1247,825,1247
1480,1291,1575,1291,1575,1373,1480,1373
504,1297,655,1297,655,1386,504,1386
737,1297,1026,1297,1026,1386,737,1386
1081,1316,1332,1287,1343,1378,1092,1407
1341,1297,1480,1297,1480,1379,1341,1379
296,1304,497,1304,497,1386,296,1386
661,1310,718,1310,718,1373,661,1373
151,1316,283,1316,283,1379,151,1379
1039,1323,1077,1323,1077,1373,1039,1373
976,1423,1165,1423,1165,1505,976,1505
1178,1423,1304,1423,1304,1499,1178,1499
1500,1419,1735,1428,1732,1507,1497,1498
340,1430,491,1430,491,1505,340,1505
510,1430,869,1430,869,1505,510,1505
151,1436,327,1436,327,1505,151,1505
882,1436,963,1436,963,1505,882,1505
1323,1442,1480,1442,1480,1524,1323,1524
1249,1554,1402,1545,1407,1624,1254,1633
753,1543,923,1573,907,1665,736,1635
926,1556,1140,1556,1140,1631,926,1631
1159,1556,1253,1556,1253,1638,1159,1638
151,1562,270,1562,270,1631,151,1631
283,1562,447,1562,447,1663,283,1663
447,1562,743,1562,743,1656,447,1656
258,1682,409,1682,409,1764,258,1764
825,1682,938,1682,938,1764,825,1764
945,1682,1241,1682,1241,1764,945,1764
1460,1674,1623,1699,1609,1792,1446,1766
415,1688,579,1688,579,1789,415,1789
585,1688,819,1688,819,1770,585,1770
1249,1686,1447,1701,1441,1774,1243,1758
1064,1808,1222,1808,1222,1890,1064,1890
1228,1808,1323,1808,1323,1890,1228,1890
1323,1808,1455,1808,1455,1890,1323,1890
1461,1808,1587,1808,1587,1883,1461,1883
157,1814,289,1814,289,1890,157,1890
302,1814,428,1814,428,1896,302,1896
1600,1820,1675,1820,1675,1883,1600,1883
434,1827,648,1827,648,1908,434,1908
654,1834,830,1818,837,1896,661,1912
850,1827,1058,1827,1058,1915,850,1915
1442,1934,1669,1934,1669,2016,1442,2016
157,1940,359,1940,359,2016,157,2016
371,1940,560,1940,560,2016,371,2016
661,1940,869,1940,869,2016,661,2016
882,1940,1014,1940,1014,2009,882,2009
1316,1940,1442,1940,1442,2016,1316,2016
1026,1946,1209,1946,1209,2009,1026,2009
1222,1946,1304,1946,1304,2009,1222,2009
573,1953,655,1953,655,2016,573,2016
1285,2060,1379,2060,1379,2148,1285,2148
1386,2060,1537,2060,1537,2142,1386,2142
1543,2060,1669,2060,1669,2135,1543,2135
157,2066,289,2066,289,2142,157,2142
300,2072,604,2065,606,2158,303,2165
611,2066,762,2066,762,2142,611,2142
774,2066,945,2066,945,2148,774,2148
942,2074,1122,2056,1132,2153,952,2171
1134,2066,1278,2066,1278,2148,1134,2148
510,2186,800,2186,800,2274,510,2274
1026,2186,1278,2186,1278,2274,1026,2274
157,2192,371,2192,371,2274,157,2274
371,2192,491,2192,491,2268,371,2268
894,2192,1014,2192,1014,2268,894,2268
1285,2192,1486,2192,1486,2268,1285,2268
1499,2192,1638,2192,1638,2268,1499,2268
806,2198,882,2198,882,2274,806,2274
478,2312,630,2312,630,2400,478,2400
157,2318,378,2318,378,2394,157,2394
636,2318,756,2318,756,2394,636,2394
989,2318,1127,2318,1127,2400,989,2400
1134,2318,1215,2318,1215,2394,1134,2394
1228,2318,1404,2318,1404,2394,1228,2394
384,2324,466,2324,466,2394,384,2394
768,2324,989,2324,989,2419,768,2419
258,2444,415,2444,415,2532,258,2532
409,2444,667,2444,667,2538,409,2538
902,2426,1233,2449,1226,2548,895,2525
1238,2456,1441,2447,1444,2519,1242,2528
1453,2453,1656,2444,1659,2519,1456,2528
664,2463,880,2448,886,2526,670,2542
151,2570,352,2570,352,2646,151,2646
371,2570,535,2570,535,2652,371,2652
787,2570,1020,2570,1020,2658,787,2658
648,2576,774,2576,774,2646,648,2646
1026,2576,1247,2576,1247,2652,1026,2652
1260,2574,1415,2587,1409,2658,1254,2645
1423,2576,1593,2576,1593,2658,1423,2658
541,2583,636,2583,636,2646,541,2646
321,2696,516,2696,516,2778,321,2778
659,2702,900,2694,903,2778,662,2786
529,2702,648,2702,648,2772,529,2772
913,2702,1083,2702,1083,2778,913,2778
1096,2702,1222,2702,1222,2778,1096,2778
1228,2702,1543,2702,1543,2784,1228,2784
148,2719,294,2709,298,2771,152,2781
1556,2715,1732,2715,1732,2778,1556,2778
292,2811,591,2836,583,2933,284,2908
730,2828,888,2828,888,2923,730,2923
894,2828,1026,2828,1026,2904,894,2904
